,close,open,low,high,volume,evm,force_index,rsi,cci,macd-signal,atr,vwap,stx_7_3,Total Revenue,Cost of Revenue,Gross Profit,Normalized EBITDA,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Free Cash Flow,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization
0,0.0016849710696927866,0.0015530080296856097,0.0027240585512602333,0.0016983002594858632,0.1769977110459347,0.553683034975788,0.5661132765291067,0.5983056737089687,0.6610035435698296,0.5009735588281702,0.0475765495356234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8263195286054579,0.0,0.5067377974850178,0.0,1.0000000000000002,1.0
1,0.0,0.0026419059180457505,0.0014625819597131051,0.0,0.08638303603166868,0.5504006663093994,0.5580550888859416,0.5583030312878605,0.5729021952684514,0.4976608079169523,0.03485686935056398,0.0009070752283781847,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8263195286054579,0.0,0.5067377974850178,0.0,1.0000000000000002,1.0
2,0.0033178541946692897,0.0022491868607283916,0.003437063420861197,0.001126235482069582,0.10338727891481549,0.5504691400473884,0.5614397732168754,0.6086411873319364,0.6582618487357103,0.500354536458141,0.031117083326529793,0.0017594714007408419,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8263195286054579,0.0,0.5067377974850178,0.0,1.0000000000000002,1.0
3,0.0055063968350466674,0.006854688065360992,0.008135575536838913,0.006256815295853424,0.13364634701381833,0.5501911687689769,0.5572163929217571,0.6401908440840871,0.7997474196335624,0.5047428801631755,0.02218587425243096,0.002428701997752636,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8263195286054579,0.0,0.5067377974850178,0.0,1.0000000000000002,1.0
4,0.005680160246836596,0.00605140898925155,0.006709565797637096,0.005237862417711792,0.08454819287114877,0.5474747462081185,0.5520856000130667,0.642745920716312,0.7500289559546767,0.506534656437678,0.011117429932292644,0.0022825140099121954,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8263195286054579,0.0,0.5067377974850178,0.0,1.0000000000000002,1.0
5,0.006618154039936319,0.005158870629550061,0.005905144324973355,0.0047015585082715305,0.19458971705849598,0.5469528737559675,0.553874956070352,0.657188165924222,0.7397985646216027,0.5079725736738591,0.006406596809243492,0.0023120753520821657,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8263195286054579,0.0,0.5067377974850178,0.0,1.0000000000000002,1.0
6,0.003630381862966714,0.007140306877611691,0.006252510678753653,0.004540675518704407,0.19847406469636536,0.5485502760138402,0.5573544390560683,0.5712390645053809,0.6701625391881642,0.5022935798469725,0.005225282225745864,0.002674472252473137,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8263195286054579,0.0,0.5067377974850178,0.0,1.0000000000000002,1.0
7,0.006791862679965344,0.007068888555494424,0.0061976662962020534,0.004969696824216607,0.17466505806971944,0.5502507065581688,0.5600855001325192,0.6249785875873688,0.6905739895083249,0.5032578396546326,0.010623717070323835,0.0033341499068646474,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8263195286054579,0.0,0.5067377974850178,0.0,1.0000000000000002,1.0
8,0.008320460371987415,0.009585853266998734,0.008172147757350146,0.009617627669299189,0.19050910764523943,0.5515182107643588,0.5646076655115,0.6497434278032965,0.7502483549175145,0.5054742107776387,0.017604617590162353,0.004179456346591448,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8263195286054579,0.0,0.5067377974850178,0.0,1.0000000000000002,1.0
9,0.00776460915542293,0.010032122446849479,0.009214218922260486,0.006489220021372477,0.11181222450200491,0.5511787249507397,0.55802608810485,0.6324497666125319,0.6906872791611657,0.5046988596405367,0.013621155693806064,0.004763611550128,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8263195286054579,0.0,0.5067377974850178,0.0,1.0000000000000002,1.0
10,0.006010214878655773,0.0077650673865372055,0.008117303374798601,0.005577522469608964,0.12278039559525199,0.5502530546373202,0.5579277624881249,0.5774017133561671,0.6331972586397454,0.49998710036706284,0.00876056083216642,0.0052432775900721484,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8263195286054579,0.0,0.5067377974850178,0.0,1.0000000000000002,1.0
11,0.002501426325121292,0.0063370005633930915,0.004607123409345548,0.0037004724253429377,0.16352515792300865,0.5497894281181775,0.5541790368301568,0.47543334505365803,0.5107077700292948,0.4899616861950715,0.005410906641537427,0.005555801017799511,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8263195286054579,0.0,0.5067377974850178,0.0,1.0000000000000002,1.0
12,0.0032135687617148023,0.0,0.0,0.0012513848812106265,0.15537824985095094,0.5476349936827158,0.5555492293406078,0.49136860070006766,0.40870044792631544,0.48470130869939865,0.004507077018505279,0.00573106417691488,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8263195286054579,0.0,0.5067377974850178,0.0,1.0000000000000002,1.0
13,0.013618423270527535,0.00922884337073998,0.010695100940444457,0.012066715213431556,0.2372725644182001,0.5525114563421922,0.5707555488749967,0.6771440721489297,0.8402370954042813,0.5000902307629463,0.021806260802003652,0.006794406232288275,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8263195286054579,0.0,0.5067377974850178,0.0,1.0000000000000002,1.0
