,hidden_layer_model,test_accuracy
0,"(50, 50, 10)",0.4074074074074074
1,"(50, 2)",0.4279835390946502
2,"(20, 20)",0.42386831275720166
3,"(10, 10)",0.43621399176954734
4,"(10, 10, 10)",0.3991769547325103
5,"(32, 16, 8)",0.41975308641975306
6,"(20, 30)",0.40329218106995884
7,"(10, 20, 30)",0.3991769547325103
