,hidden_layer_model,test_accuracy
0,"(50, 50, 10)",0.5020576131687243
1,"(50, 2)",0.5020576131687243
2,"(20, 20)",0.5185185185185185
3,"(10, 10)",0.5061728395061729
4,"(10, 10, 10)",0.5308641975308642
5,"(32, 16, 8)",0.5349794238683128
6,"(20, 30)",0.5102880658436214
7,"(10, 20, 30)",0.522633744855967
