,hidden_layer_model,test_accuracy
0,"(50, 50, 10)",0.51440329218107
1,"(50, 2)",0.4609053497942387
2,"(20, 20)",0.48148148148148145
3,"(10, 10)",0.49794238683127573
4,"(10, 10, 10)",0.45267489711934156
5,"(32, 16, 8)",0.448559670781893
6,"(20, 30)",0.4773662551440329
7,"(10, 20, 30)",0.522633744855967
