,hidden_layer_model,test_accuracy
0,"(50, 50, 10)",0.4691358024691358
1,"(50, 2)",0.51440329218107
2,"(20, 20)",0.51440329218107
3,"(10, 10)",0.49794238683127573
4,"(10, 10, 10)",0.5267489711934157
5,"(32, 16, 8)",0.51440329218107
6,"(20, 30)",0.4897119341563786
7,"(10, 20, 30)",0.5185185185185185
