,hidden_layer_model,test_accuracy
0,"(50, 50, 10)",0.49794238683127573
1,"(50, 2)",0.4773662551440329
2,"(20, 20)",0.5473251028806584
3,"(10, 10)",0.5185185185185185
4,"(10, 10, 10)",0.51440329218107
5,"(32, 16, 8)",0.5349794238683128
6,"(20, 30)",0.51440329218107
7,"(10, 20, 30)",0.51440329218107
