,hidden_layer_model,test_accuracy
0,"(50, 50, 10)",0.4691358024691358
1,"(50, 2)",0.5102880658436214
2,"(20, 20)",0.522633744855967
3,"(10, 10)",0.49794238683127573
4,"(10, 10, 10)",0.5349794238683128
5,"(32, 16, 8)",0.5267489711934157
6,"(20, 30)",0.49794238683127573
7,"(10, 20, 30)",0.5061728395061729
