,hidden_layer_model,test_accuracy
0,"(50, 50, 10)",0.45267489711934156
1,"(50, 2)",0.5061728395061729
2,"(20, 20)",0.49794238683127573
3,"(10, 10)",0.51440329218107
4,"(10, 10, 10)",0.5555555555555556
5,"(32, 16, 8)",0.5267489711934157
6,"(20, 30)",0.5308641975308642
7,"(10, 20, 30)",0.45267489711934156
