,hidden_layer_model,test_accuracy
0,"(50, 50, 10)",0.49382716049382713
1,"(50, 2)",0.48148148148148145
2,"(20, 20)",0.4773662551440329
3,"(10, 10)",0.522633744855967
4,"(10, 10, 10)",0.5555555555555556
5,"(32, 16, 8)",0.49382716049382713
6,"(20, 30)",0.5267489711934157
7,"(10, 20, 30)",0.51440329218107
